cowcode	year	gwf_casename	gwf_country	gwf_regimetype	gwf_next	gwf_prior	gwf_spell	gwf_duration	gwf_fail	gwf_party	gwf_military	gwf_monarchy	gwf_personal	gwf_nonautocracy	gwf_disagree
2	1946	USA 1871-NA	USA	NA			139	75	0	0	0	0	0	democracy	0
2	1947	USA 1871-NA	USA	NA			139	76	0	0	0	0	0	democracy	0
2	1948	USA 1871-NA	USA	NA			139	77	0	0	0	0	0	democracy	0
2	1949	USA 1871-NA	USA	NA			139	78	0	0	0	0	0	democracy	0
2	1950	USA 1871-NA	USA	NA			139	79	0	0	0	0	0	democracy	0
2	1951	USA 1871-NA	USA	NA			139	80	0	0	0	0	0	democracy	0
2	1952	USA 1871-NA	USA	NA			139	81	0	0	0	0	0	democracy	0
2	1953	USA 1871-NA	USA	NA			139	82	0	0	0	0	0	democracy	0
2	1954	USA 1871-NA	USA	NA			139	83	0	0	0	0	0	democracy	0
2	1955	USA 1871-NA	USA	NA			139	84	0	0	0	0	0	democracy	0
2	1956	USA 1871-NA	USA	NA			139	85	0	0	0	0	0	democracy	0
2	1957	USA 1871-NA	USA	NA			139	86	0	0	0	0	0	democracy	0
2	1958	USA 1871-NA	USA	NA			139	87	0	0	0	0	0	democracy	0
2	1959	USA 1871-NA	USA	NA			139	88	0	0	0	0	0	democracy	0
2	1960	USA 1871-NA	USA	NA			139	89	0	0	0	0	0	democracy	0
2	1961	USA 1871-NA	USA	NA			139	90	0	0	0	0	0	democracy	0
2	1962	USA 1871-NA	USA	NA			139	91	0	0	0	0	0	democracy	0
2	1963	USA 1871-NA	USA	NA			139	92	0	0	0	0	0	democracy	0
2	1964	USA 1871-NA	USA	NA			139	93	0	0	0	0	0	democracy	0
2	1965	USA 1871-NA	USA	NA			139	94	0	0	0	0	0	democracy	0
2	1966	USA 1871-NA	USA	NA			139	95	0	0	0	0	0	democracy	0
2	1967	USA 1871-NA	USA	NA			139	96	0	0	0	0	0	democracy	0
2	1968	USA 1871-NA	USA	NA			139	97	0	0	0	0	0	democracy	0
2	1969	USA 1871-NA	USA	NA			139	98	0	0	0	0	0	democracy	0
2	1970	USA 1871-NA	USA	NA			139	99	0	0	0	0	0	democracy	0
2	1971	USA 1871-NA	USA	NA			139	100	0	0	0	0	0	democracy	0
